年別,居住地,細分,合計,業務,觀光,探親,會議,求學,展覽,醫療,其他
2017,歐洲地區,荷蘭 Netherlands,"25,492","7,449","10,545","1,537",309,626,84,8,"4,934"
2017,歐洲地區,英國 U.K.,"64,858","12,358","25,596","5,404","1,105",372,291,16,"19,716"
2017,歐洲地區,西班牙 Spain,"11,367","2,651","3,987","1,025",226,460,193,10,"2,815"
2017,歐洲地區,瑞典 Sweden,"9,106","2,671","3,074",640,181,455,46,2,"2,037"
2017,歐洲地區,瑞士 Switzerland,"11,253","3,025","4,448","1,031",192,213,45,3,"2,296"
2017,歐洲地區,奧地利 Austria,"7,877","2,032","3,092",812,127,261,19,1,"1,533"
2017,歐洲地區,希臘 Greece,"1,875",563,320,64,44,10,16,0,858
2017,歐洲地區,俄羅斯 Russian Federation,"9,226","2,362","1,723",304,310,223,323,3,"3,978"
2017,歐洲地區,歐洲其他 Others,"49,969","10,067","17,593","2,111","1,159","1,353",678,18,"16,990"
2017,歐洲地區,歐洲合計 Total,"330,090","82,627","117,140","23,970","6,332","8,765","2,542",104,"88,610"
2017,全區,未列明 Unstated,"1,801",43,290,49,14,5,3,3,"1,394"
2017,全區,總計 Grand Total,"10,739,601","744,402","7,648,509","455,429","66,519","73,135","16,274","30,764","1,704,569"
2018,亞洲地區,日本 Japan,"1,969,151","252,734","1,439,450","21,149","11,353","6,243","1,570",222,"236,430"
2018,亞洲地區,韓國 Korea,"1,019,441","56,110","823,620","17,197","6,274","6,388","3,497",67,"106,288"
2018,亞洲地區,香港.澳門 Hong Kong.Macao,"1,653,654","85,575","1,432,062","44,021","7,908","4,501",207,"3,797","75,583"
2018,亞洲地區,中國大陸 China,"2,695,615","15,512","2,045,644","58,485",560,"28,984",69,"24,957","521,404"
2018,亞洲地區,印度 India,"38,385","8,485","4,340","1,305","1,998",927,701,22,"20,607"
2018,亞洲地區,中東 Middle East,"22,442","7,446","6,645",713,811,220,377,40,"6,190"
2018,亞洲地區,東南亞地區 越南 Vietnam,"490,774","6,240","193,793","50,911","1,998","2,844",727,203,"234,058"
2018,亞洲地區,東南亞地區 泰國 Thailand,"320,008","11,536","214,725","9,187","3,358","2,514","1,285",102,"77,301"
2018,亞洲地區,東南亞地區 馬來西亞 Malaysia,"526,129","21,423","378,371","16,581","5,045","2,145","1,659","1,068","99,837"
2018,亞洲地區,東南亞地區 新加坡 Singapore,"427,222","45,637","314,229","14,812","4,860","1,400",911,206,"45,167"
2018,亞洲地區,東南亞地區 菲律賓 Philippines,"419,105","8,549","211,138","15,877","5,799","1,412",695,765,"174,870"
2018,亞洲地區,東南亞地區 印尼 Indonesia,"210,985","4,197","49,597","9,360","2,376","2,797",910,749,"140,999"
2018,亞洲地區,東南亞地區 東南亞其他地區 Others,"35,896",849,"19,546","2,118",371,230,153,825,"11,804"
2018,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"2,430,119","98,431","1,381,399","118,846","23,807","13,342","6,340","3,918","784,036"
2018,亞洲地區,亞洲其他 Others,"16,954","2,467","4,492",847,"1,090",448,407,250,"6,953"
2018,亞洲地區,亞洲合計 Total,"9,845,761","526,760","7,137,652","262,563","53,801","61,053","13,168","33,273","1,757,491"
2018,非洲地區,南非 S. Africa,"5,596",870,911,650,109,21,53,1,"2,981"
2018,非洲地區,非洲其他 Others,"6,441","1,764",835,264,308,245,144,13,"2,868"
2018,非洲地區,非洲合計 Total,"12,037","2,634","1,746",914,417,266,197,14,"5,849"
2018,美洲地區,美國 USA,"580,072","99,865","198,761","154,319","7,084","4,169",545,503,"114,826"
2018,美洲地區,加拿大 Canada,"128,456","8,302","67,146","19,375","1,000",519,130,135,"31,849"
2018,美洲地區,墨西哥 Mexico,"4,334",823,932,211,117,140,44,2,"2,065"
2018,美洲地區,阿根廷 Argentina,"1,459",212,301,137,46,36,18,0,709
2018,美洲地區,巴西 Brazil,"5,042","1,125","1,105",466,158,75,51,2,"2,060"
2018,美洲地區,美洲其他 Others,"13,115","1,504","2,639","1,249",411,632,180,6,"6,494"
2018,美洲地區,美洲合計 Total,"732,478","111,831","270,884","175,757","8,816","5,571",968,648,"158,003"
2018,大洋洲地區,澳洲 Australia,"102,541","9,579","51,785","15,070","2,241",480,323,113,"22,950"
2018,大洋洲地區,紐西蘭 New Zealand,"16,362","1,938","6,552","3,601",420,107,80,19,"3,645"
2018,大洋洲地區,大洋洲其他 Others,"2,794",290,718,150,158,123,15,481,859
2018,大洋洲地區,大洋洲合計 Total,"121,697","11,807","59,055","18,821","2,819",710,418,613,"27,454"
2018,歐洲地區,比利時 Belgium,"7,845","2,153","2,699",612,207,368,28,5,"1,773"
2018,歐洲地區,法國 France,"52,687","9,888","17,954","5,875","1,058","2,707",309,21,"14,875"
2018,歐洲地區,德國 Germany,"65,330","20,387","23,887","4,051","1,254","1,835",272,19,"13,625"
2018,歐洲地區,義大利 Italy,"19,577","7,216","4,493","1,060",631,480,279,5,"5,413"
2018,歐洲地區,荷蘭 Netherlands,"25,835","7,864","10,079","1,523",407,679,90,6,"5,187"
2018,歐洲地區,英國 U.K.,"71,030","13,255","26,888","5,578","1,349",416,289,44,"23,211"
2018,歐洲地區,西班牙 Spain,"13,006","2,696","4,505","1,109",346,514,161,3,"3,672"
2018,歐洲地區,瑞典 Sweden,"9,206","2,443","3,319",676,194,351,40,2,"2,181"
2018,歐洲地區,瑞士 Switzerland,"11,239","2,922","4,535",973,210,191,47,5,"2,356"
2018,歐洲地區,奧地利 Austria,"9,261","2,393","3,655",825,129,239,32,1,"1,987"
2018,歐洲地區,希臘 Greece,"1,755",569,312,41,61,14,19,1,738
2018,歐洲地區,俄羅斯 Russian Federation,"10,394","2,307","2,386",291,375,168,368,7,"4,492"
2018,歐洲地區,歐洲其他 Others,"52,929","10,821","19,222","2,242","1,430","1,331",659,28,"17,196"
2018,歐洲地區,歐洲合計 Total,"350,094","84,914","123,934","24,856","7,651","9,293","2,593",147,"96,706"
2018,全區,未列明 Unstated,"4,640",81,980,141,25,32,11,6,"3,364"
2018,全區,總計 Grand Total,"11,066,707","738,027","7,594,251","483,052","73,529","76,925","17,355","34,701","2,048,867"
2019,亞洲地區,日本 Japan,"2,167,952","250,285","1,680,682","21,198","11,702","7,221","1,658",215,"194,991"
2019,亞洲地區,韓國 Korea,"1,242,598","54,970","1,040,352","17,513","6,671","6,565","3,888",96,"112,543"
2019,亞洲地區,香港.澳門 Hong Kong.Macao,"1,758,006","84,243","1,527,072","47,555","7,757","4,508",216,"6,160","80,495"
2019,亞洲地區,中國大陸 China,"2,714,065","15,935","2,052,401","59,338",548,"28,368",83,"42,370","515,022"
2019,亞洲地區,印度 India,"40,353","11,005","5,629","1,269","2,542",874,843,28,"18,163"
2019,亞洲地區,中東 Middle East,"24,030","7,577","7,994",841,824,245,349,27,"6,173"
2019,亞洲地區,東南亞地區 越南 Vietnam,"405,396","7,515","144,589","32,043","2,031","3,488",670,377,"214,683"
2019,亞洲地區,東南亞地區 泰國 Thailand,"413,926","11,784","300,352","9,742","3,225","3,093","1,350",121,"84,259"
2019,亞洲地區,東南亞地區 馬來西亞 Malaysia,"537,692","21,885","402,392","16,746","5,672","2,061","1,644","1,209","86,083"
2019,亞洲地區,東南亞地區 新加坡 Singapore,"460,635","48,451","352,510","15,222","5,270","1,408",987,270,"36,517"
2019,亞洲地區,東南亞地區 菲律賓 Philippines,"509,519","9,239","306,660","20,474","5,761","1,606",615,"1,094","164,070"
2019,亞洲地區,東南亞地區 印尼 Indonesia,"229,960","5,231","59,428","9,570","2,415","2,995","1,057",827,"148,437"
2019,亞洲地區,東南亞地區 東南亞其他地區 Others,"36,264","1,017","19,713","2,199",529,310,160,"1,173","11,163"
2019,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"2,593,392","105,122","1,585,644","105,996","24,903","14,961","6,483","5,071","745,212"
2019,亞洲地區,亞洲其他 Others,"21,303","3,178","7,592","1,343","1,173",453,368,268,"6,928"
2019,亞洲地區,亞洲合計 Total,"10,561,699","532,315","7,907,366","255,053","56,120","63,195","13,888","54,235","1,679,527"
2019,非洲地區,南非 S. Africa,"5,872",814,920,639,126,28,31,2,"3,312"
2019,非洲地區,非洲其他 Others,"6,665","1,985",909,330,470,202,141,8,"2,620"
2019,非洲地區,非洲合計 Total,"12,537","2,799","1,829",969,596,230,172,10,"5,932"
2019,美洲地區,美國 USA,"605,054","101,361","231,156","153,494","6,952","4,451",544,605,"106,491"
2019,美洲地區,加拿大 Canada,"136,651","8,351","76,769","20,669","1,131",545,184,164,"28,838"
2019,美洲地區,墨西哥 Mexico,"4,033",904,925,252,130,188,53,0,"1,581"
2019,美洲地區,阿根廷 Argentina,"1,284",150,301,108,46,18,25,2,634
2019,美洲地區,巴西 Brazil,"5,417","1,211","1,335",442,285,129,45,0,"1,970"
2019,美洲地區,美洲其他 Others,"13,815","1,524","3,147","1,220",462,804,125,11,"6,522"
2019,美洲地區,美洲合計 Total,"766,254","113,501","313,633","176,185","9,006","6,135",976,782,"146,036"
2019,大洋洲地區,澳洲 Australia,"111,788","8,857","58,465","15,419","2,356",580,436,146,"25,529"
2019,大洋洲地區,紐西蘭 New Zealand,"19,831","2,022","9,446","3,567",493,124,61,44,"4,074"
2019,大洋洲地區,大洋洲其他 Others,"3,241",277,809,241,165,116,18,567,"1,048"
2019,大洋洲地區,大洋洲合計 Total,"134,860","11,156","68,720","19,227","3,014",820,515,757,"30,651"
2019,歐洲地區,比利時 Belgium,"8,980","2,245","3,532",686,220,332,34,1,"1,930"
2019,歐洲地區,法國 France,"57,393","9,831","22,616","6,075",914,"3,181",332,20,"14,424"
2019,歐洲地區,德國 Germany,"72,708","19,315","28,137","4,576","1,213","2,014",283,17,"17,153"
2019,歐洲地區,義大利 Italy,"20,115","7,247","5,470","1,058",521,616,230,5,"4,968"
2019,歐洲地區,荷蘭 Netherlands,"27,640","8,249","11,734","1,554",412,698,86,12,"4,895"
2019,歐洲地區,英國 U.K.,"76,904","13,689","32,262","5,914","1,345",371,341,30,"22,952"
2019,歐洲地區,西班牙 Spain,"14,298","2,826","5,614","1,152",262,503,152,8,"3,781"
2019,歐洲地區,瑞典 Sweden,"9,522","2,496","3,673",715,192,382,48,0,"2,016"
2019,歐洲地區,瑞士 Switzerland,"12,011","2,962","5,188","1,087",176,210,55,8,"2,325"
2019,歐洲地區,奧地利 Austria,"9,160","2,156","3,794",846,127,267,24,0,"1,946"
2019,歐洲地區,希臘 Greece,"2,050",610,364,66,83,12,26,1,888
2019,歐洲地區,俄羅斯 Russian Federation,"17,621","2,969","6,072",493,512,260,464,10,"6,841"
2019,歐洲地區,歐洲其他 Others,"58,350","11,645","23,493","2,460","1,574","1,401",690,40,"17,047"
2019,歐洲地區,歐洲合計 Total,"386,752","86,240","151,949","26,682","7,551","10,247","2,765",152,"101,166"
2019,全區,未列明 Unstated,"2,003",104,527,104,21,3,4,1,"1,239"
2019,全區,總計 Grand Total,"11,864,105","746,115","8,444,024","478,220","76,308","80,630","18,320","55,937","1,964,551"
2020,亞洲地區,日本 Japan,"269,659","31,609","183,770","4,146",777,"1,327",104,53,"47,873"
2020,亞洲地區,韓國 Korea,"178,911","5,347","117,840","2,364",247,"1,044",260,8,"51,801"
2020,亞洲地區,香港.澳門 Hong Kong.Macao,"177,654","6,861","138,675","8,367",485,"3,440",24,627,"19,175"
2020,亞洲地區,中國大陸 China,"111,050",944,"38,554","8,737",19,"5,405",6,"6,363","51,022"
2020,亞洲地區,印度 India,"6,606",840,333,308,50,160,0,18,"4,897"
2020,亞洲地區,中東 Middle East,"2,737",687,801,188,28,54,3,4,972
2020,亞洲地區,東南亞地區 越南 Vietnam,"110,882",679,"9,582","5,897",37,"1,610",11,62,"93,004"
2020,亞洲地區,東南亞地區 泰國 Thailand,"63,553","1,349","29,890","1,664",201,492,20,15,"29,922"
2020,亞洲地區,東南亞地區 馬來西亞 Malaysia,"72,705","2,768","37,976","3,115",387,"1,093",39,157,"27,170"
2020,亞洲地區,東南亞地區 新加坡 Singapore,"49,946","5,013","36,031","2,970",325,119,30,37,"5,421"
2020,亞洲地區,東南亞地區 菲律賓 Philippines,"77,065","1,085","29,494","4,058",348,173,10,134,"41,763"
2020,亞洲地區,東南亞地區 印尼 Indonesia,"55,717",534,"3,599","1,635",53,820,7,121,"48,948"
2020,亞洲地區,東南亞地區 東南亞其他地區 Others,"5,515",199,"1,091",281,11,106,1,119,"3,707"
2020,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"435,383","11,627","147,663","19,620","1,362","4,413",118,645,"249,935"
2020,亞洲地區,亞洲其他 Others,"1,987",239,188,149,46,138,22,15,"1,190"
2020,亞洲地區,亞洲合計 Total,"1,183,987","58,154","627,824","43,879","3,014","15,981",537,"7,733","426,865"
2020,非洲地區,南非 S. Africa,"1,258",104,139,132,2,6,3,0,872
2020,非洲地區,非洲其他 Others,"1,244",232,66,59,4,72,3,4,804
2020,非洲地區,非洲合計 Total,"2,502",336,205,191,6,78,6,4,"1,676"
2020,美洲地區,美國 USA,"82,872","9,595","26,634","22,339",377,734,44,125,"23,024"
2020,美洲地區,加拿大 Canada,"18,857",875,"8,656","3,465",56,93,3,25,"5,684"
2020,美洲地區,墨西哥 Mexico,600,104,104,48,3,27,0,2,312
2020,美洲地區,阿根廷 Argentina,272,5,95,31,1,4,0,3,133
2020,美洲地區,巴西 Brazil,823,103,226,99,4,25,1,3,362
2020,美洲地區,美洲其他 Others,"2,693",112,429,224,17,140,2,1,"1,768"
2020,美洲地區,美洲合計 Total,"106,117","10,794","36,144","26,206",458,"1,023",50,159,"31,283"
2020,大洋洲地區,澳洲 Australia,"18,906",729,"9,401","3,327",81,101,14,18,"5,235"
2020,大洋洲地區,紐西蘭 New Zealand,"3,093",155,"1,322",780,10,11,3,8,804
2020,大洋洲地區,大洋洲其他 Others,607,19,52,20,0,14,0,245,257
2020,大洋洲地區,大洋洲合計 Total,"22,606",903,"10,775","4,127",91,126,17,271,"6,296"
2020,歐洲地區,比利時 Belgium,"1,602",411,381,94,8,73,5,0,630
2020,歐洲地區,法國 France,"8,975",904,"2,878","1,111",38,829,32,2,"3,181"
2020,歐洲地區,德國 Germany,"9,361","2,097","3,548",934,34,376,7,2,"2,363"
2020,歐洲地區,義大利 Italy,"2,267",514,596,198,11,85,6,0,857
2020,歐洲地區,荷蘭 Netherlands,"5,311","1,615","1,543",381,15,145,3,0,"1,609"
2020,歐洲地區,英國 U.K.,"11,879","1,908","4,002","1,269",63,100,33,6,"4,498"
2020,歐洲地區,西班牙 Spain,"2,022",335,624,222,14,107,14,4,702
2020,歐洲地區,瑞典 Sweden,"1,499",246,513,142,5,66,0,2,525
2020,歐洲地區,瑞士 Switzerland,"1,491",244,591,201,6,49,2,0,398
2020,歐洲地區,奧地利 Austria,"1,622",374,635,195,7,51,1,0,359
2020,歐洲地區,希臘 Greece,280,81,39,15,5,1,2,0,137
2020,歐洲地區,俄羅斯 Russian Federation,"2,939",386,863,109,9,61,4,2,"1,505"
2020,歐洲地區,歐洲其他 Others,"10,264","1,999","2,991",598,47,336,25,6,"4,262"
2020,歐洲地區,歐洲合計 Total,"59,512","11,114","19,204","5,469",262,"2,279",134,24,"21,026"
2020,全區,未列明 Unstated,"3,137",23,35,10,0,2,1,0,"3,066"
2020,全區,總計 Grand Total,"1,377,861","81,324","694,187","79,882","3,831","19,489",745,"8,191","490,212"
2021,亞洲地區,日本 Japan,"10,056","3,216",35,431,9,195,9,8,"6,153"
2021,亞洲地區,韓國 Korea,"3,300",787,11,167,3,98,2,1,"2,231"
2021,亞洲地區,香港.澳門 Hong Kong.Macao,"10,760",133,2,363,0,"3,209",0,30,"7,023"
2021,亞洲地區,中國大陸 China,"13,267",231,0,185,0,"1,950",0,242,"10,659"
2021,亞洲地區,印度 India,"1,930",183,0,81,1,83,0,4,"1,578"
2021,亞洲地區,中東 Middle East,696,145,3,43,0,42,0,8,455
2021,亞洲地區,東南亞地區 越南 Vietnam,"24,935",27,9,719,1,390,3,16,"23,770"
2021,亞洲地區,東南亞地區 泰國 Thailand,"7,570",62,4,176,0,66,1,1,"7,260"
2021,亞洲地區,東南亞地區 馬來西亞 Malaysia,"6,205",541,6,180,11,95,0,22,"5,350"
2021,亞洲地區,東南亞地區 新加坡 Singapore,"2,417",486,5,379,4,13,1,3,"1,526"
2021,亞洲地區,東南亞地區 菲律賓 Philippines,"9,183",125,2,116,0,74,0,26,"8,840"
2021,亞洲地區,東南亞地區 印尼 Indonesia,"13,819",159,2,358,3,180,0,30,"13,087"
2021,亞洲地區,東南亞地區 東南亞其他地區 Others,"1,180",48,0,49,0,25,0,28,"1,030"
2021,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"65,309","1,448",28,"1,977",19,843,5,126,"60,863"
2021,亞洲地區,亞洲其他 Others,678,41,1,28,1,38,0,1,568
2021,亞洲地區,亞洲合計 Total,"105,996","6,184",80,"3,275",33,"6,458",16,420,"89,530"
2021,非洲地區,南非 S. Africa,355,57,0,12,0,6,0,0,280
2021,非洲地區,非洲其他 Others,546,41,0,18,0,25,0,1,461
2021,非洲地區,非洲合計 Total,901,98,0,30,0,31,0,1,741
2021,美洲地區,美國 USA,"11,981","1,227",21,"1,932",16,270,4,21,"8,490"
2021,美洲地區,加拿大 Canada,"1,178",121,6,244,1,22,0,2,782
2021,美洲地區,墨西哥 Mexico,181,34,3,9,0,27,0,0,108
2021,美洲地區,阿根廷 Argentina,52,4,0,4,0,2,0,0,42
2021,美洲地區,巴西 Brazil,171,19,0,16,0,3,0,0,133
2021,美洲地區,美洲其他 Others,"1,079",30,0,28,0,103,1,1,916
2021,美洲地區,美洲合計 Total,"14,642","1,435",30,"2,233",17,427,5,24,"10,471"
2021,大洋洲地區,澳洲 Australia,568,61,0,89,0,7,0,0,411
2021,大洋洲地區,紐西蘭 New Zealand,159,27,1,25,3,4,0,4,95
2021,大洋洲地區,大洋洲其他 Others,631,2,1,2,0,8,0,342,276
2021,大洋洲地區,大洋洲合計 Total,"1,358",90,2,116,3,19,0,346,782
2021,歐洲地區,比利時 Belgium,681,135,9,22,0,33,0,0,482
2021,歐洲地區,法國 France,"1,567",208,15,124,0,125,3,3,"1,089"
2021,歐洲地區,德國 Germany,"1,937",546,2,228,0,113,0,0,"1,048"
2021,歐洲地區,義大利 Italy,539,141,0,38,1,28,0,0,331
2021,歐洲地區,荷蘭 Netherlands,"2,070",723,4,73,0,10,0,1,"1,259"
2021,歐洲地區,英國 U.K.,"2,964",673,8,163,0,169,2,4,"1,945"
2021,歐洲地區,西班牙 Spain,423,89,0,27,0,25,0,0,282
2021,歐洲地區,瑞典 Sweden,279,30,0,22,0,8,0,0,219
2021,歐洲地區,瑞士 Switzerland,216,39,0,22,1,8,0,0,146
2021,歐洲地區,奧地利 Austria,248,98,0,14,0,21,0,1,114
2021,歐洲地區,希臘 Greece,71,32,0,4,0,3,0,0,32
2021,歐洲地區,俄羅斯 Russian Federation,724,166,1,10,3,16,1,2,525
2021,歐洲地區,歐洲其他 Others,"4,694","1,243",5,139,44,148,2,6,"3,107"
2021,歐洲地區,歐洲合計 Total,"16,413","4,123",44,886,49,707,8,17,"10,579"
2021,全區,未列明 Unstated,"1,169",7,0,2,0,2,0,0,"1,158"
2021,全區,總計 Grand Total,"140,479","11,937",156,"6,542",102,"7,644",29,808,"113,261"
2022,亞洲地區,日本 Japan,"87,616","25,915","30,985","4,557","1,081","1,336",179,67,"23,496"
2022,亞洲地區,韓國 Korea,"51,748","8,733","30,355","1,929",733,692,258,7,"9,041"
2022,亞洲地區,香港.澳門 Hong Kong.Macao,"32,621","3,427","5,895","6,028",253,"2,315",5,292,"14,406"
2022,亞洲地區,中國大陸 China,"24,378","2,032",68,"2,875",0,"1,476",1,657,"17,269"
2022,亞洲地區,印度 India,"9,390","2,088",374,553,205,292,44,11,"5,823"
2022,亞洲地區,中東 Middle East,"3,461","1,258",561,226,62,128,25,16,"1,185"
2022,亞洲地區,東南亞地區 越南 Vietnam,"134,818","1,582","9,450","7,410",219,999,80,76,"115,002"
2022,亞洲地區,東南亞地區 泰國 Thailand,"74,434","1,838","37,445","2,075",245,974,331,12,"31,514"
2022,亞洲地區,東南亞地區 馬來西亞 Malaysia,"59,035","4,091","31,463","3,529",471,179,150,99,"19,053"
2022,亞洲地區,東南亞地區 新加坡 Singapore,"69,507","6,808","51,082","5,150",377,98,90,24,"5,878"
2022,亞洲地區,東南亞地區 菲律賓 Philippines,"64,038","1,619","10,646","2,367",254,216,54,102,"48,780"
2022,亞洲地區,東南亞地區 印尼 Indonesia,"78,162","1,321","5,320","1,931",195,663,81,101,"68,550"
2022,亞洲地區,東南亞地區 東南亞其他地區 Others,"4,047",143,648,455,32,98,32,108,"2,531"
2022,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"484,041","17,402","146,054","22,917","1,793","3,227",818,522,"291,308"
2022,亞洲地區,亞洲其他 Others,"3,537",609,750,369,91,112,34,45,"1,527"
2022,亞洲地區,亞洲合計 Total,"696,792","61,464","215,042","39,454","4,218","9,578","1,364","1,617","364,055"
2022,非洲地區,南非 S. Africa,"1,625",167,60,125,7,17,1,1,"1,247"
2022,非洲地區,非洲其他 Others,"1,785",334,39,89,84,87,11,5,"1,136"
2022,非洲地區,非洲合計 Total,"3,410",501,99,214,91,104,12,6,"2,383"
2022,美洲地區,美國 USA,"90,614","13,427","20,628","30,119",554,"1,483",54,87,"24,262"
2022,美洲地區,加拿大 Canada,"13,244","1,231","4,208","3,674",88,95,16,21,"3,911"
2022,美洲地區,墨西哥 Mexico,713,176,51,64,13,28,3,0,378
2022,美洲地區,阿根廷 Argentina,195,15,9,19,4,18,1,0,129
2022,美洲地區,巴西 Brazil,723,158,47,71,14,27,4,1,401
2022,美洲地區,美洲其他 Others,"3,353",241,177,212,111,282,19,5,"2,306"
2022,美洲地區,美洲合計 Total,"108,842","15,248","25,120","34,159",784,"1,933",97,114,"31,387"
2022,大洋洲地區,澳洲 Australia,"11,509","1,233","3,613","3,612",133,145,13,22,"2,738"
2022,大洋洲地區,紐西蘭 New Zealand,"2,792",232,792,905,29,36,3,8,787
2022,大洋洲地區,大洋洲其他 Others,619,60,28,29,21,14,4,197,266
2022,大洋洲地區,大洋洲合計 Total,"14,920","1,525","4,433","4,546",183,195,20,227,"3,791"
2022,歐洲地區,比利時 Belgium,"1,879",458,258,171,12,68,2,0,910
2022,歐洲地區,法國 France,"8,349","1,676","1,350","1,324",83,366,30,3,"3,517"
2022,歐洲地區,德國 Germany,"10,811","3,136","2,279","1,689",108,497,19,6,"3,077"
2022,歐洲地區,義大利 Italy,"3,011","1,125",431,264,39,72,10,3,"1,067"
2022,歐洲地區,荷蘭 Netherlands,"6,190","2,342",821,537,34,148,10,5,"2,293"
2022,歐洲地區,英國 U.K.,"13,723","3,235","2,001","1,598",81,319,25,13,"6,451"
2022,歐洲地區,西班牙 Spain,"1,962",475,293,223,20,79,5,1,866
2022,歐洲地區,瑞典 Sweden,"1,429",397,278,216,13,61,1,2,461
2022,歐洲地區,瑞士 Switzerland,"1,602",387,374,286,21,47,5,1,481
2022,歐洲地區,奧地利 Austria,"1,470",417,373,240,4,65,4,1,366
2022,歐洲地區,希臘 Greece,260,93,25,21,2,2,0,0,117
2022,歐洲地區,俄羅斯 Russian Federation,"1,786",390,74,121,13,95,13,3,"1,077"
2022,歐洲地區,歐洲其他 Others,"13,518","3,732","1,410",822,178,610,49,8,"6,709"
2022,歐洲地區,歐洲合計 Total,"65,990","17,863","9,967","7,512",608,"2,429",173,46,"27,392"
2022,全區,未列明 Unstated,"6,008",19,25,36,9,30,0,5,"5,884"
2022,全區,總計 Grand Total,"895,962","96,620","254,686","85,921","5,893","14,269","1,666","2,015","434,892"
